number,url,id,home_town,name,sex
1,/id25676529,25676529,Error,Алена,female
2,/snezzzhana,14954809,Error,Снежана,female
3,/nastya_stausy,14695940,Error,Анастасия,female
4,/losseella,1314540,Error,Василиса,female
5,/belyakovamaria,374315,Error,Мария,female
6,/feykina,113451860,Error,Соня,female
7,/lakmanito21,440049558,Error,Ирина,female
8,/id351690564,351690564,Error,Александра,female
9,/id255127441,255127441,печоры,Катя,female
10,/j_uli,248649844,Санкт Петербург,Юлия,female
11,/katerina.vasilyeva99,232950640,Error,Катерина,female
12,/id223057105,223057105,Лянтор,Катя,female
13,/innoktnt,309252617,,Иннокентий,male
14,/artyomrafikov,287915359,,Артем,male
15,/spbpromsnab,270360161,Санкт-Петербург,Сергей,male
16,/kryakrya228,232144288,Error,Егор,male
17,/danchik728,230473213,Error,Даниил,male
18,/aleks886,223406131,Error,Алексей,male
19,/nikitaoriginal,216536446,Анапа,Никита,male
20,/ezolotaryov2013,215258764,СПБ,Егор,male
21,/id212950644,212950644,Великие Луки,Сергей,male
22,/hellishdemoman,206173658,Санкт-Петербург,Андрей,male
23,/alfaoscar_21,196858095,Error,Антон,male
24,/vladmardus,172660877,Error,Владислав,male
25,/teptopek,168366595,Error,Тимофей,male
26,/lesha1201,151657911,Cанкт-Петербрг,Алексей,male
27,/id149494947,149494947,,Елена,female
28,/id144504433,144504433,Error,Олеся,female
29,/elvira_29,143281900,Локня,Эльвира,female
30,/daria_kaverzina,139284507,Error,Дарья,female
31,/id134233495,134233495,Error,Валерия,female
32,/ridso,134038948,Error,Соня,female
33,/margaretmargaret1,113716640,Error,Маргарита,female
34,/id90437308,90437308,Error,Ксюша,female
35,/kivikik,89159316,Error,Софья,female
36,/all___al,82528656,Error,Алёна,female
37,/id79517509,79517509,Error,Рита,female
38,/katyamnbv,76667886,Error,Екатерина,female
39,/id70503750,70503750,Error,Елизавета,female
40,/darya904,60290265,Error,Дарья,female
41,/id58194687,58194687,Error,Анастасия,female
42,/elizabethmiu,56092425,Error,Лиза,female
43,/alexandr_luchko,74011779,Error,Александр,male
44,/peterkornush,63431365,Error,Петр,male
45,/phi1618,43571839,Чебоксары,Митя,male
